[22:16:59] R= 655 , G= 655 , B= 655 , ORP= 589 , HCL= 9.43 , SG=1.251 , Temp=45.0
[22:17:01] R= 655 , G= 655 , B= 655 , ORP= 589 , HCL= 9.43 , SG=1.251 , Temp=45.0
[22:17:03] R= 660 , G= 660 , B= 660 , ORP= 589 , HCL= 9.36 , SG=1.250 , Temp=45.0
[22:17:05] R= 660 , G= 660 , B= 660 , ORP= 589 , HCL= 9.36 , SG=1.250 , Temp=45.0
[22:17:07] R= 665 , G= 665 , B= 665 , ORP= 588 , HCL= 9.30 , SG=1.248 , Temp=45.0
[22:17:09] R= 665 , G= 665 , B= 665 , ORP= 588 , HCL= 9.30 , SG=1.248 , Temp=45.0
[22:17:11] R= 665 , G= 665 , B= 665 , ORP= 588 , HCL= 9.30 , SG=1.248 , Temp=45.0
[22:17:13] R= 670 , G= 670 , B= 670 , ORP= 588 , HCL= 9.23 , SG=1.247 , Temp=45.0
[22:17:15] R= 670 , G= 670 , B= 670 , ORP= 588 , HCL= 9.23 , SG=1.247 , Temp=45.0
[22:17:17] R= 675 , G= 675 , B= 675 , ORP= 588 , HCL= 9.16 , SG=1.245 , Temp=45.0
[22:17:19] R= 675 , G= 675 , B= 675 , ORP= 588 , HCL= 9.16 , SG=1.245 , Temp=45.0
[22:17:21] R= 675 , G= 675 , B= 675 , ORP= 588 , HCL= 9.16 , SG=1.245 , Temp=45.0
[22:17:23] R= 680 , G= 680 , B= 680 , ORP= 588 , HCL= 9.10 , SG=1.244 , Temp=45.0
[22:17:25] R= 680 , G= 680 , B= 680 , ORP= 588 , HCL= 9.10 , SG=1.244 , Temp=45.0
[22:17:27] R= 685 , G= 685 , B= 685 , ORP= 587 , HCL= 9.03 , SG=1.242 , Temp=45.0
[22:17:29] R= 685 , G= 685 , B= 685 , ORP= 587 , HCL= 9.03 , SG=1.242 , Temp=45.0
[22:17:31] R= 685 , G= 685 , B= 685 , ORP= 587 , HCL= 9.03 , SG=1.242 , Temp=45.0
[22:17:33] R= 690 , G= 690 , B= 690 , ORP= 587 , HCL= 8.96 , SG=1.241 , Temp=45.0
[22:17:35] R= 690 , G= 690 , B= 690 , ORP= 587 , HCL= 8.96 , SG=1.241 , Temp=45.0
[22:17:37] R= 695 , G= 695 , B= 695 , ORP= 587 , HCL= 8.89 , SG=1.239 , Temp=45.0
[22:17:39] R= 695 , G= 695 , B= 695 , ORP= 587 , HCL= 8.89 , SG=1.239 , Temp=45.0
[22:17:41] R= 695 , G= 695 , B= 695 , ORP= 587 , HCL= 8.89 , SG=1.239 , Temp=45.0
[22:17:43] R= 699 , G= 699 , B= 699 , ORP= 586 , HCL= 8.83 , SG=1.238 , Temp=45.0
[22:17:45] R= 699 , G= 699 , B= 699 , ORP= 586 , HCL= 8.83 , SG=1.238 , Temp=45.0
[22:17:47] R= 704 , G= 704 , B= 704 , ORP= 586 , HCL= 8.76 , SG=1.237 , Temp=45.0
[22:17:49] R= 704 , G= 704 , B= 704 , ORP= 586 , HCL= 8.76 , SG=1.237 , Temp=45.0
[22:17:51] R= 704 , G= 704 , B= 704 , ORP= 586 , HCL= 8.76 , SG=1.237 , Temp=45.0
[22:17:53] R= 708 , G= 708 , B= 708 , ORP= 586 , HCL= 8.69 , SG=1.235 , Temp=45.0
[22:17:55] R= 708 , G= 708 , B= 708 , ORP= 586 , HCL= 8.69 , SG=1.235 , Temp=45.0
[22:17:57] R= 713 , G= 713 , B= 713 , ORP= 585 , HCL= 8.62 , SG=1.234 , Temp=45.0
[22:17:59] R= 713 , G= 713 , B= 713 , ORP= 585 , HCL= 8.62 , SG=1.234 , Temp=45.0
[22:18:01] R= 713 , G= 713 , B= 713 , ORP= 585 , HCL= 8.62 , SG=1.234 , Temp=45.0
[22:18:03] R= 717 , G= 717 , B= 717 , ORP= 585 , HCL= 8.55 , SG=1.233 , Temp=45.0
[22:18:05] R= 717 , G= 717 , B= 717 , ORP= 585 , HCL= 8.55 , SG=1.233 , Temp=45.0
[22:18:07] R= 721 , G= 721 , B= 721 , ORP= 584 , HCL= 8.48 , SG=1.231 , Temp=45.0
[22:18:09] R= 721 , G= 721 , B= 721 , ORP= 584 , HCL= 8.48 , SG=1.231 , Temp=45.0
[22:18:11] R= 721 , G= 721 , B= 721 , ORP= 584 , HCL= 8.48 , SG=1.231 , Temp=45.0
[22:18:13] R= 725 , G= 725 , B= 725 , ORP= 584 , HCL= 8.41 , SG=1.230 , Temp=45.0
[22:18:15] R= 725 , G= 725 , B= 725 , ORP= 584 , HCL= 8.41 , SG=1.230 , Temp=45.0
[22:18:17] R= 729 , G= 729 , B= 729 , ORP= 583 , HCL= 8.34 , SG=1.229 , Temp=45.0
[22:18:19] R= 729 , G= 729 , B= 729 , ORP= 583 , HCL= 8.34 , SG=1.229 , Temp=45.0
[22:18:21] R= 729 , G= 729 , B= 729 , ORP= 583 , HCL= 8.34 , SG=1.229 , Temp=45.0
[22:18:23] R= 733 , G= 733 , B= 733 , ORP= 583 , HCL= 8.27 , SG=1.228 , Temp=45.0
[22:18:25] R= 733 , G= 733 , B= 733 , ORP= 583 , HCL= 8.27 , SG=1.228 , Temp=45.0
[22:18:27] R= 737 , G= 737 , B= 737 , ORP= 582 , HCL= 8.20 , SG=1.226 , Temp=45.0
[22:18:30] R= 737 , G= 737 , B= 737 , ORP= 582 , HCL= 8.20 , SG=1.226 , Temp=45.0
[22:18:32] R= 737 , G= 737 , B= 737 , ORP= 582 , HCL= 8.20 , SG=1.226 , Temp=45.0
[22:18:34] R= 740 , G= 740 , B= 740 , ORP= 582 , HCL= 8.13 , SG=1.225 , Temp=45.0
[22:18:36] R= 740 , G= 740 , B= 740 , ORP= 582 , HCL= 8.13 , SG=1.225 , Temp=45.0
[22:18:38] R= 744 , G= 744 , B= 744 , ORP= 581 , HCL= 8.06 , SG=1.224 , Temp=45.0
[22:18:40] R= 744 , G= 744 , B= 744 , ORP= 581 , HCL= 8.06 , SG=1.224 , Temp=45.0
[22:18:42] R= 744 , G= 744 , B= 744 , ORP= 581 , HCL= 8.06 , SG=1.224 , Temp=45.0
[22:18:44] R= 747 , G= 747 , B= 747 , ORP= 581 , HCL= 8.00 , SG=1.223 , Temp=45.0
[22:18:46] R= 747 , G= 747 , B= 747 , ORP= 581 , HCL= 8.00 , SG=1.223 , Temp=45.0
[22:18:48] R= 751 , G= 751 , B= 751 , ORP= 580 , HCL= 7.93 , SG=1.222 , Temp=45.0
[22:18:50] R= 751 , G= 751 , B= 751 , ORP= 580 , HCL= 7.93 , SG=1.222 , Temp=45.0
[22:18:52] R= 751 , G= 751 , B= 751 , ORP= 580 , HCL= 7.93 , SG=1.222 , Temp=45.0
[22:18:54] R= 754 , G= 754 , B= 754 , ORP= 580 , HCL= 7.86 , SG=1.221 , Temp=45.1
[22:18:56] R= 754 , G= 754 , B= 754 , ORP= 580 , HCL= 7.86 , SG=1.221 , Temp=45.1
[22:18:58] R= 757 , G= 757 , B= 757 , ORP= 579 , HCL= 7.79 , SG=1.220 , Temp=45.1
[22:19:00] R= 757 , G= 757 , B= 757 , ORP= 579 , HCL= 7.79 , SG=1.220 , Temp=45.1
