[22:25:09] R=  68 , G=  68 , B=  68 , ORP= 523 , HCL= 1.14 , SG=1.394 , Temp=51.7
[22:25:11] R=  68 , G=  68 , B=  68 , ORP= 523 , HCL= 1.14 , SG=1.394 , Temp=51.7
[22:25:13] R=  68 , G=  68 , B=  68 , ORP= 523 , HCL= 1.14 , SG=1.394 , Temp=51.7
[22:25:15] R=  72 , G=  72 , B=  72 , ORP= 525 , HCL= 1.14 , SG=1.393 , Temp=51.7
[22:25:17] R=  72 , G=  72 , B=  72 , ORP= 525 , HCL= 1.14 , SG=1.393 , Temp=51.7
[22:25:20] R=  75 , G=  75 , B=  75 , ORP= 526 , HCL= 1.14 , SG=1.393 , Temp=51.6
[22:25:21] R=  75 , G=  75 , B=  75 , ORP= 526 , HCL= 1.14 , SG=1.393 , Temp=51.6
[22:25:24] R=  79 , G=  79 , B=  79 , ORP= 527 , HCL= 1.15 , SG=1.392 , Temp=51.5
[22:25:26] R=  79 , G=  79 , B=  79 , ORP= 527 , HCL= 1.15 , SG=1.392 , Temp=51.5
[22:25:28] R=  79 , G=  79 , B=  79 , ORP= 527 , HCL= 1.15 , SG=1.392 , Temp=51.5
[22:25:30] R=  82 , G=  82 , B=  82 , ORP= 528 , HCL= 1.15 , SG=1.392 , Temp=51.4
[22:25:32] R=  82 , G=  82 , B=  82 , ORP= 528 , HCL= 1.15 , SG=1.392 , Temp=51.4
[22:25:34] R=  86 , G=  86 , B=  86 , ORP= 529 , HCL= 1.15 , SG=1.391 , Temp=51.3
[22:25:36] R=  86 , G=  86 , B=  86 , ORP= 529 , HCL= 1.15 , SG=1.391 , Temp=51.3
[22:25:38] R=  86 , G=  86 , B=  86 , ORP= 529 , HCL= 1.15 , SG=1.391 , Temp=51.3
[22:25:40] R=  90 , G=  90 , B=  90 , ORP= 530 , HCL= 1.16 , SG=1.390 , Temp=51.2
[22:25:42] R=  90 , G=  90 , B=  90 , ORP= 530 , HCL= 1.16 , SG=1.390 , Temp=51.2
[22:25:44] R=  94 , G=  94 , B=  94 , ORP= 531 , HCL= 1.16 , SG=1.389 , Temp=51.2
[22:25:46] R=  94 , G=  94 , B=  94 , ORP= 531 , HCL= 1.16 , SG=1.389 , Temp=51.2
[22:25:48] R=  94 , G=  94 , B=  94 , ORP= 531 , HCL= 1.16 , SG=1.389 , Temp=51.2
[22:25:50] R=  98 , G=  98 , B=  98 , ORP= 532 , HCL= 1.16 , SG=1.389 , Temp=51.1
[22:25:52] R=  98 , G=  98 , B=  98 , ORP= 532 , HCL= 1.16 , SG=1.389 , Temp=51.1
[22:25:54] R= 102 , G= 102 , B= 102 , ORP= 534 , HCL= 1.17 , SG=1.388 , Temp=51.0
[22:25:56] R= 102 , G= 102 , B= 102 , ORP= 534 , HCL= 1.17 , SG=1.388 , Temp=51.0
[22:25:58] R= 102 , G= 102 , B= 102 , ORP= 534 , HCL= 1.17 , SG=1.388 , Temp=51.0
[22:26:00] R= 106 , G= 106 , B= 106 , ORP= 535 , HCL= 1.17 , SG=1.387 , Temp=50.9
[22:26:02] R= 106 , G= 106 , B= 106 , ORP= 535 , HCL= 1.17 , SG=1.387 , Temp=50.9
[22:26:04] R= 111 , G= 111 , B= 111 , ORP= 536 , HCL= 1.17 , SG=1.386 , Temp=50.8
[22:26:06] R= 111 , G= 111 , B= 111 , ORP= 536 , HCL= 1.17 , SG=1.386 , Temp=50.8
[22:26:08] R= 111 , G= 111 , B= 111 , ORP= 536 , HCL= 1.17 , SG=1.386 , Temp=50.8
[22:26:10] R= 115 , G= 115 , B= 115 , ORP= 537 , HCL= 1.17 , SG=1.385 , Temp=50.7
[22:26:12] R= 115 , G= 115 , B= 115 , ORP= 537 , HCL= 1.17 , SG=1.385 , Temp=50.7
[22:26:14] R= 120 , G= 120 , B= 120 , ORP= 538 , HCL= 1.18 , SG=1.384 , Temp=50.6
[22:26:16] R= 120 , G= 120 , B= 120 , ORP= 538 , HCL= 1.18 , SG=1.384 , Temp=50.6
[22:26:18] R= 120 , G= 120 , B= 120 , ORP= 538 , HCL= 1.18 , SG=1.384 , Temp=50.6
[22:26:20] R= 124 , G= 124 , B= 124 , ORP= 539 , HCL= 1.18 , SG=1.383 , Temp=50.6
[22:26:22] R= 124 , G= 124 , B= 124 , ORP= 539 , HCL= 1.18 , SG=1.383 , Temp=50.6
[22:26:24] R= 129 , G= 129 , B= 129 , ORP= 540 , HCL= 1.18 , SG=1.382 , Temp=50.5
[22:26:26] R= 129 , G= 129 , B= 129 , ORP= 540 , HCL= 1.18 , SG=1.382 , Temp=50.5
[22:26:28] R= 129 , G= 129 , B= 129 , ORP= 540 , HCL= 1.18 , SG=1.382 , Temp=50.5
[22:26:30] R= 134 , G= 134 , B= 134 , ORP= 541 , HCL= 1.18 , SG=1.381 , Temp=50.4
[22:26:32] R= 134 , G= 134 , B= 134 , ORP= 541 , HCL= 1.18 , SG=1.381 , Temp=50.4
[22:26:34] R= 139 , G= 139 , B= 139 , ORP= 542 , HCL= 1.18 , SG=1.380 , Temp=50.3
[22:26:36] R= 139 , G= 139 , B= 139 , ORP= 542 , HCL= 1.18 , SG=1.380 , Temp=50.3
[22:26:38] R= 139 , G= 139 , B= 139 , ORP= 542 , HCL= 1.18 , SG=1.380 , Temp=50.3
[22:26:40] R= 144 , G= 144 , B= 144 , ORP= 544 , HCL= 1.18 , SG=1.379 , Temp=50.2
[22:26:42] R= 144 , G= 144 , B= 144 , ORP= 544 , HCL= 1.18 , SG=1.379 , Temp=50.2
[22:26:44] R= 149 , G= 149 , B= 149 , ORP= 545 , HCL= 1.19 , SG=1.378 , Temp=50.1
[22:26:46] R= 149 , G= 149 , B= 149 , ORP= 545 , HCL= 1.19 , SG=1.378 , Temp=50.1
[22:26:48] R= 149 , G= 149 , B= 149 , ORP= 545 , HCL= 1.19 , SG=1.378 , Temp=50.1
[22:26:50] R= 154 , G= 154 , B= 154 , ORP= 546 , HCL= 1.19 , SG=1.377 , Temp=50.0
[22:26:52] R= 154 , G= 154 , B= 154 , ORP= 546 , HCL= 1.19 , SG=1.377 , Temp=50.0
[22:26:54] R= 159 , G= 159 , B= 159 , ORP= 547 , HCL= 1.19 , SG=1.376 , Temp=50.0
[22:26:56] R= 159 , G= 159 , B= 159 , ORP= 547 , HCL= 1.19 , SG=1.376 , Temp=50.0
[22:26:58] R= 159 , G= 159 , B= 159 , ORP= 547 , HCL= 1.19 , SG=1.376 , Temp=50.0
[22:27:00] R= 164 , G= 164 , B= 164 , ORP= 548 , HCL= 1.19 , SG=1.375 , Temp=49.9
[22:27:02] R= 164 , G= 164 , B= 164 , ORP= 548 , HCL= 1.19 , SG=1.375 , Temp=49.9
[22:27:04] R= 169 , G= 169 , B= 169 , ORP= 549 , HCL= 1.19 , SG=1.374 , Temp=49.8
[22:27:06] R= 169 , G= 169 , B= 169 , ORP= 549 , HCL= 1.19 , SG=1.374 , Temp=49.8
[22:27:08] R= 169 , G= 169 , B= 169 , ORP= 549 , HCL= 1.19 , SG=1.374 , Temp=49.8
